OpenTime,Open,High,Low,Close,Volume,CloseTime
19-Dec-2025 12:00:00,88198.7,89399.97,87514.59,87951.87,5988.71834,19-Dec-2025 15:59:59
19-Dec-2025 16:00:00,87951.86,88882.55,86846.16,87845.92,4584.61046,19-Dec-2025 19:59:59
19-Dec-2025 20:00:00,87845.92,88426.85,87614.79,88136.94,1860.23503,19-Dec-2025 23:59:59
20-Dec-2025 00:00:00,88136.95,88339.27,87961.6,88214.98,984.44715,20-Dec-2025 03:59:59
20-Dec-2025 04:00:00,88214.98,88573.07,88123.07,88275.41,797.87192,20-Dec-2025 07:59:59
20-Dec-2025 08:00:00,88275.41,88428,88107.35,88277.66,821.72303,20-Dec-2025 11:59:59
20-Dec-2025 12:00:00,88277.66,88343.73,87795.76,88178.71,1315.67537,20-Dec-2025 15:59:59
20-Dec-2025 16:00:00,88178.72,88418.73,88103.54,88232.92,574.10491,20-Dec-2025 19:59:59
20-Dec-2025 20:00:00,88232.92,88443.44,88154.06,88360.9,629.30956,20-Dec-2025 23:59:59
21-Dec-2025 00:00:00,88360.91,88433.64,87869.35,88070.64,991.41687,21-Dec-2025 03:59:59
21-Dec-2025 04:00:00,88070.64,88201.59,88050,88174.79,455.57319,21-Dec-2025 07:59:59
21-Dec-2025 08:00:00,88174.79,89081.77,88141.87,88601.57,1439.81605,21-Dec-2025 11:59:59
21-Dec-2025 12:00:00,88601.57,88920.01,87600.04,88067.95,2206.50881,21-Dec-2025 15:59:59
21-Dec-2025 16:00:00,88067.96,88600,87950,88484.01,1240.46771,21-Dec-2025 19:59:59
21-Dec-2025 20:00:00,88484.01,88823.52,88091.96,88658.86,799.08995,21-Dec-2025 23:59:59
22-Dec-2025 00:00:00,88658.87,89627.24,87900,88774.12,2619.97992,22-Dec-2025 03:59:59
22-Dec-2025 04:00:00,88774.13,89200,88712.11,89170.1,1290.70342,22-Dec-2025 07:59:59
22-Dec-2025 08:00:00,89170.1,90118,89093.44,89945.43,2622.90199,22-Dec-2025 11:59:59
22-Dec-2025 12:00:00,89945.43,90588.23,89196.42,89726.92,3942.72215,22-Dec-2025 15:59:59
22-Dec-2025 16:00:00,89726.93,90127,87965.76,88052.43,2609.5493,22-Dec-2025 19:59:59
22-Dec-2025 20:00:00,88052.42,88833.33,87911.79,88620.79,1587.36292,22-Dec-2025 23:59:59
23-Dec-2025 00:00:00,88620.79,88940,87800,88170,1505.70483,23-Dec-2025 03:59:59
23-Dec-2025 04:00:00,88170,88368.1,87051.52,87574.79,1996.43062,23-Dec-2025 07:59:59
23-Dec-2025 08:00:00,87574.78,87890,87297.69,87856.65,1432.37853,23-Dec-2025 11:59:59
23-Dec-2025 12:00:00,87856.66,87963.03,86601.9,87443.45,3407.99312,23-Dec-2025 15:59:59
23-Dec-2025 16:00:00,87443.45,88275.4,87162.39,87752.87,3220.82979,23-Dec-2025 19:59:59
23-Dec-2025 20:00:00,87752.88,88372.35,87180,87486,2346.99215,23-Dec-2025 23:59:59
24-Dec-2025 00:00:00,87486,87839.66,86863.88,87336.23,1598.88886,24-Dec-2025 03:59:59
24-Dec-2025 04:00:00,87336.23,87458.54,86796.65,86911.53,1349.63742,24-Dec-2025 07:59:59
24-Dec-2025 08:00:00,86911.53,87359.59,86724.05,87203.94,1188.37005,24-Dec-2025 11:59:59
24-Dec-2025 12:00:00,87203.94,87478.59,86420,87049.99,2300.52897,24-Dec-2025 15:59:59
24-Dec-2025 16:00:00,87050,87670,86917.25,87566.06,1746.44928,24-Dec-2025 19:59:59
24-Dec-2025 20:00:00,87566.07,88049.89,87516.77,87669.45,956.96862,24-Dec-2025 23:59:59
25-Dec-2025 00:00:00,87669.44,87967.5,87508.52,87840.42,652.86225,25-Dec-2025 03:59:59
25-Dec-2025 04:00:00,87840.42,87862.2,87661.17,87837.59,568.68423,25-Dec-2025 07:59:59
25-Dec-2025 08:00:00,87837.59,87888,87251.6,87519.44,1203.75216,25-Dec-2025 11:59:59
25-Dec-2025 12:00:00,87519.45,88592.74,87398.78,88371.27,1933.47252,25-Dec-2025 15:59:59
25-Dec-2025 16:00:00,88371.27,88478,87993.21,88151.18,1039.54656,25-Dec-2025 19:59:59
25-Dec-2025 20:00:00,88151.19,88167.65,86934.72,87225.27,1698.26463,25-Dec-2025 23:59:59
26-Dec-2025 00:00:00,87225.27,89440,86891.7,88844.87,4964.62578,26-Dec-2025 03:59:59
26-Dec-2025 04:00:00,88844.88,89567.75,88347.45,88470.75,3154.47608,26-Dec-2025 07:59:59
26-Dec-2025 08:00:00,88470.75,88918.59,88414.81,88533.42,1250.32549,26-Dec-2025 11:59:59
26-Dec-2025 12:00:00,88533.43,89050,86655.08,87137.81,5932.37434,26-Dec-2025 15:59:59
26-Dec-2025 16:00:00,87137.81,87580.29,86818.18,87501.83,1940.76351,26-Dec-2025 19:59:59
26-Dec-2025 20:00:00,87501.83,87792.7,87321.4,87369.56,1102.04985,26-Dec-2025 23:59:59
27-Dec-2025 00:00:00,87369.56,87532,87253.05,87514.22,675.35016,27-Dec-2025 03:59:59
27-Dec-2025 04:00:00,87514.23,87702,87417.93,87539.26,515.35353,27-Dec-2025 07:59:59
